,Medal
57740,0
62760,3
20121,3
130127,3
8778,0
41060,0
124769,0
51488,0
189666,0
3575,1
84503,0
96640,0
81599,1
4154,0
123886,0
36701,0
177954,0
123110,0
47554,0
114638,0
213893,0
213294,0
119375,0
136375,0
78892,2
103223,0
129744,0
180241,0
71215,2
141803,0
19748,0
129887,0
37496,0
33422,0
194147,0
78030,1
13080,0
27000,0
485,0
50488,0
12997,0
149058,0
79075,1
144400,0
102480,2
181474,0
1694,2
149598,2
209437,0
53449,0
148007,0
19640,0
216718,0
96900,0
7543,0
77242,0
218195,0
117134,0
57820,1
478,0
12885,0
19730,0
34131,0
116653,0
163493,0
202398,0
64001,0
51447,2
182571,0
62774,0
100212,0
143150,0
45221,0
24151,0
200775,0
216075,0
147366,0
69365,0
61938,0
129314,0
181953,0
28454,0
136145,0
54435,3
54033,1
132365,0
86635,0
102225,0
126554,0
207307,0
11362,0
183279,2
127863,0
78358,0
191926,0
190102,0
23430,0
209393,0
192819,0
95910,1
103843,2
32556,3
105200,0
152527,0
185317,0
77428,0
121156,2
88114,2
157311,0
217973,0
182463,0
29157,0
8590,1
3591,0
59803,0
31465,3
92082,0
610,0
117645,0
179089,0
213602,0
163112,0
36758,0
190352,1
149540,0
198373,0
103444,3
109699,0
147392,0
53049,1
181621,0
67840,0
10375,0
185602,0
165459,0
155151,0
7952,0
109118,0
149915,1
10347,3
71694,0
81376,0
29237,0
14181,0
200789,0
111182,0
97233,0
155198,0
167062,0
121630,0
207976,0
195538,0
188972,0
59017,0
84182,2
107041,0
22325,2
183040,0
186492,0
26354,0
93312,2
12683,1
162,1
15117,0
52577,0
50633,0
128693,0
131581,0
173937,0
193846,0
158825,0
198670,0
12212,3
60907,0
133594,0
59698,0
154866,1
112121,0
193490,0
24772,0
7753,0
181748,0
19278,2
154094,0
64961,0
209713,0
205322,2
132020,0
208073,0
22508,2
27174,0
170790,0
29463,0
178971,0
116765,0
5013,1
86702,0
12443,0
2810,1
42286,0
162972,0
154210,0
39111,0
47854,0
126980,0
167384,0
150553,0
206297,0
114055,0
91051,1
142322,0
3788,1
118280,1
64815,0
58746,0
76506,0
18955,1
128887,3
204105,0
17571,0
149495,0
80645,0
117214,0
27421,0
46883,3
217372,0
48795,0
168905,1
100656,0
197534,0
26486,0
204754,1
126443,0
132564,0
180220,0
168769,0
171059,0
144415,0
50749,0
163378,0
81573,0
4578,0
136586,0
198815,0
202817,0
57041,1
87740,1
176135,0
21134,0
153723,0
83468,0
7083,0
192988,1
213260,0
149873,0
129764,0
113762,0
93976,0
200429,0
187609,0
19522,1
181751,0
209024,0
41081,0
65910,1
61704,0
150221,0
149306,0
8895,0
214048,0
76316,0
196165,0
24878,0
51862,0
111286,0
167794,0
82891,1
39243,0
59262,3
87609,1
159410,0
143982,0
206134,1
146795,0
139081,2
993,0
46778,0
121386,0
2391,0
170646,0
3622,0
168217,0
24675,1
140020,0
107545,0
43484,0
184562,2
156493,2
212509,0
74617,0
198049,0
32864,0
114875,0
183131,0
135082,0
28478,0
30448,3
158576,0
97823,0
58343,0
45307,0
31111,0
73300,1
75402,0
84066,3
133133,0
76503,0
1921,0
8667,0
196124,0
208326,0
102185,0
172081,0
171880,0
138688,0
76351,0
173743,0
59255,0
128762,0
105223,0
47924,0
153044,0
14049,0
12487,0
40641,0
134996,0
38221,2
40423,0
164105,0
22237,0
218652,0
101236,0
204220,0
13863,0
217688,0
85603,0
62553,2
212236,0
191176,0
55349,0
154716,0
214402,0
148930,3
109121,0
40067,0
57447,0
61730,2
155606,0
113132,0
144197,0
64324,0
88018,3
193772,0
137298,0
38549,0
173832,0
90669,0
63410,0
120529,0
78428,1
70759,1
522,1
165075,0
156610,2
78014,3
161506,0
103581,0
11722,0
96843,0
210036,2
134355,0
177570,0
22994,1
132282,0
185220,0
159412,0
109082,0
39145,0
84234,2
40539,0
100217,0
173758,0
213335,0
160580,0
3367,0
38331,0
118588,0
11188,0
214651,0
43704,3
162851,0
95368,0
194654,0
161264,0
21671,0
107553,0
66088,0
125292,0
33810,0
112366,0
37155,0
117082,0
46638,0
68071,0
127840,0
102545,0
204155,0
49155,0
179559,0
5654,0
36400,0
88184,0
197499,0
108031,0
199564,0
16070,0
52064,0
17051,0
118679,0
16987,0
61346,2
30598,3
61145,0
14380,0
24389,0
110556,1
11296,0
200796,0
193585,0
98518,0
174055,0
2116,0
62827,0
200346,0
134646,0
109970,0
106439,0
60800,2
61897,0
201295,0
213665,0
171154,0
45984,0
155257,3
195956,0
74948,3
151514,0
45208,0
183331,0
117959,0
179665,0
3653,0
169378,0
100470,0
205217,0
151882,0
142222,0
142099,0
108898,0
45333,0
118920,0
187012,0
149023,0
78754,0
21751,0
2705,0
15975,0
149369,0
97034,0
151494,0
43409,0
62978,0
137177,0
34171,0
1834,0
668,0
208648,0
155786,0
161603,0
89973,0
198642,0
60206,0
157958,0
83133,0
47595,0
47990,0
21152,0
110483,0
36647,0
33292,0
25583,0
153868,0
199742,0
27459,2
27266,0
85547,0
203881,0
89602,1
26031,3
130087,0
159013,0
147570,0
180162,0
148316,0
103473,0
208349,0
61772,0
13334,0
206843,1
54445,0
106844,0
160709,0
13236,0
115911,0
3388,0
70567,0
84954,3
167661,0
202467,0
116099,0
181326,0
29298,0
212048,0
186736,0
65296,0
68937,0
73060,0
50522,0
22584,0
112155,0
143051,0
189960,0
193123,0
196555,0
73784,0
37297,0
121504,0
144085,0
173493,0
72731,1
198177,0
166459,3
96672,0
154515,0
195860,0
1845,0
125061,2
59432,2
94937,0
107166,0
61394,0
100186,1
128960,0
42012,0
131092,1
87357,0
101341,3
10072,0
216135,0
140250,0
158005,0
191994,0
216547,0
65916,3
80036,2
156762,0
176480,0
182384,0
121976,0
111934,0
35041,3
88210,2
173080,0
108146,0
113054,0
177469,0
51818,3
82535,0
181812,3
210450,1
100387,3
71744,0
14654,0
100657,0
61250,0
213783,0
125214,0
36948,0
71475,0
70199,0
10910,3
151781,0
186342,0
182267,1
418,1
65531,0
173045,1
131632,0
98125,3
46889,0
106220,0
22867,0
108964,0
8277,0
159413,0
145561,0
120091,0
214736,0
115745,0
78065,0
157583,0
93518,0
37928,0
108548,0
85696,0
32138,0
208691,0
107586,0
141569,0
201562,0
87,1
142667,0
883,0
86907,0
14929,0
206971,0
42149,0
74201,0
66252,0
24101,0
184375,0
191901,0
192269,0
84228,0
106805,0
186057,0
41053,0
57698,0
25968,0
181789,0
201618,0
25495,0
7284,0
211691,0
138474,0
125043,0
109549,0
13523,0
164181,1
160415,0
81609,2
183281,3
133159,0
138069,0
53771,0
55391,0
95363,1
70209,0
121088,0
208305,0
111319,0
87909,0
84239,3
85036,3
85429,0
108454,0
29953,0
85843,0
217471,0
102704,0
181096,0
29413,0
107634,2
170159,0
205001,0
54651,3
136756,0
204781,2
107076,0
193953,0
137612,0
139645,0
107322,0
78161,3
62972,0
211952,3
79544,1
133136,0
194176,0
66136,0
131130,0
134274,2
180920,0
10617,2
88146,1
23456,0
217089,0
22414,0
9094,0
197823,0
161910,0
69780,0
155803,0
187415,0
144850,0
120341,0
62058,0
36796,0
8332,0
131394,0
105918,0
96251,0
163066,0
207469,0
73293,0
39758,0
68077,0
54537,0
176609,0
213410,0
86226,2
56545,0
189095,0
102920,0
31356,0
67351,0
139169,0
195630,0
138389,0
157187,0
161953,0
22028,0
90372,0
141594,0
19766,3
99066,0
77169,0
163558,0
59111,3
68320,0
206957,2
2363,0
158091,0
35408,0
139984,0
46782,3
20964,0
8671,0
157298,0
76675,0
5169,0
10579,2
185186,0
53094,0
81618,0
45926,0
62468,0
164392,0
180394,0
135837,2
145455,0
43944,0
161815,0
210809,2
114323,0
178305,0
54535,3
161063,0
30488,0
149204,0
210244,0
65444,0
130776,0
65853,0
8018,0
148745,0
32644,0
134286,0
215622,0
80859,1
213072,0
50237,0
189370,0
41731,0
114545,0
104071,0
42260,0
154399,0
157432,0
102643,0
35529,2
155430,0
113112,0
78578,3
84510,0
82610,0
173042,0
19216,0
50715,0
214718,0
780,0
30563,0
172251,0
143324,2
172534,0
14691,0
170783,2
9638,0
198536,0
172725,0
96554,0
63132,1
103445,1
12634,3
89847,0
214946,0
209025,0
173461,0
22830,0
38111,0
90328,0
184637,0
41027,0
104003,1
52812,1
133081,0
173641,1
211350,1
15630,0
149025,2
168404,1
121007,0
51071,0
98167,0
146838,0
29340,0
208321,0
216498,0
181497,0
138742,3
94521,0
60651,0
132565,0
63939,0
208795,0
157257,0
144779,3
84159,0
140027,0
169169,0
149982,0
11120,0
116275,0
157563,0
43263,0
102497,1
16568,0
166502,0
126324,0
120342,0
121228,3
71469,1
110792,0
21888,0
31311,3
74033,1
8582,2
25659,0
89574,0
145710,0
65903,0
182194,0
124001,0
128541,0
201669,0
202177,0
161632,0
133963,0
35027,0
83238,1
54585,3
104804,0
110340,0
206425,0
40700,0
198455,0
86353,0
16095,0
60092,0
31157,0
107565,0
189564,0
101542,0
106365,1
214704,0
103957,0
197041,0
80005,0
100653,0
69130,0
61118,0
127286,0
105795,0
23698,0
13914,0
122286,0
16989,2
22854,0
145058,0
77069,0
6662,0
89590,1
166876,2
182574,3
156194,0
96022,2
171573,0
197316,2
112916,0
140044,2
15991,0
70698,1
66523,0
10609,0
27841,0
157836,0
138004,3
215699,0
147024,0
55387,0
23216,2
139689,0
90620,0
152376,0
55577,3
83555,0
32459,0
113699,0
183363,3
2776,0
208587,0
19725,0
45408,0
60309,0
143818,0
134139,0
93291,0
134784,0
28345,1
40739,0
214055,0
84351,0
137849,0
106579,0
193046,0
79625,0
50061,0
45183,0
20754,0
55789,0
195604,3
166075,0
138254,0
178678,0
131541,0
173896,0
144137,0
131830,0
67790,0
201323,0
149410,1
203942,0
182680,3
32544,0
29490,3
99024,0
158832,0
149404,2
103246,0
136550,0
105643,0
211423,0
2822,0
165326,0
16314,0
105862,0
96962,0
81023,0
139522,0
54981,0
45876,0
197844,0
64517,0
